Название вакансии,responsibilities
Арматурщик,"На работающую станцию кузовного ремонта со стабильным потоком автомобилей премиум класса, требуется доукомплектовать штат <highlighttext>арматурщиков</highlighttext>. Просьба откликаться или звонить людям... Работы по разборке/сборке автомобилей премиум сегмента под покраску. Замена стекл, разборка/сборка салона, разборка/сборка кузова и кузовных эл..."
Арматурщик,Опыт работы. Армирование стен и перекрытий. Работа в бригаде монолитчиков на строительном объекте.
Арматурщик,"Монтаж лестничных маршей и площадок, рядовых крупных блоков стен и балконных блоков."
Арматурщик (Северск),"Армирование, бетонирование, плотничество, монтаж, сварные работы, шлифовка."
Арматурщик,Умение аккуратно собирать автомобили(выставление зазоров). Опыт работы с автомобилями премиум и бизнес класса. Разборка/сборка авто.
Арматурщик,Опыт работы от 6 месяцев. 1. Арматурные работы. 2. Регулировка положения навесных деталей а/м. Дисциплина.
Арматурщик,"Монтаж лестничных маршей и площадок, рядовых крупных блоков стен и балконных блоков."
Арматурщик (Северск),"Армирование, бетонирование, плотничество, монтаж, сварные работы, шлифовка."
Арматурщик (Северск),"Армирование, бетонирование, плотничество, монтаж, сварные работы, шлифовка."
Арматурщик-бетонщик,Навыки и опыт работы <highlighttext>арматурщиком</highlighttext>-бетонщиком. Дисциплина. Добросовестная работа. Работа в строительной бригаде на строительстве Жд платформы.
Арматурщик,Опыт работы на аналогичной должности от 1 года. Удостоверение по специальности. Монтаж/демонтаж опалубки. Изготовление и сборка арматурных каркасов. Укладка бетонной смеси.
Арматурщик,"Профессионализм, опыт работы. Ответственность, исполнительность. Строительство монолитно-кирпичного жилого дома (комплекса) со встроенно-пристроенными помещениями, подземным гаражом: Выполнение комплекса монолитных работ при строительстве каркаса монолитного..."
Арматурщик,"Если нет времени позвонить - пишите на Viber, WhatsApp, Телеграмм. ОТВЕТИМ НА ВСЕ ВОПРОСЫ!"
Арматурщик,"Если нет времени позвонить - пишите на Viber, WhatsApp, Телеграмм. ОТВЕТИМ НА ВСЕ ВОПРОСЫ!"
Арматурщик,"Знание устройства автомобиля (Mercedes, BMW, AUDI). Средне-техническое образование. Порядочность. Внимательность. Ответственность. Желание развиваться и достигать поставленных целей! Частичный разбор Mercedes, BMW, AUDI (разбор ходовой части, дверей). Замер компрессии двигателя. Поддержание порядка на рабочем месте."
"Арматурщик на стройку, Казань","Ответственный подход к выполнению трудовых обязанностей. ОПЫТ РАБОТЫ БУДЕТ ПРЕИМУЩЕСТВОМ, НО ЕСЛИ ОПЫТА НЕТ МЫ ВСЕМУ ОБУЧАЕМ (ПОСЛЕ ОБУЧЕНИЯ ВЫДАЕМ... КОМПЕНСИРУЕМ билет до КАЗАНИ ( сохрани чек ). Оформление и заселение в день визита, со след дня выходите на работу. "
Бетонщик-арматурщик,"опыт работы в монолите обязателен. - опыт работы на крупных режимных объектах. - умение выполнять свои обязательства. строгое соблюдение ТБ, ПБ, режима объекта."
Арматурщик / специалист по шумоизоляции,Опыт работы в шумоизоляции. Прямые руки и желание зарабатывать. Требования: Опыт от года. Арматурные навыки (качественный разбор и сбор салона... 
Автожестянщик-арматурщик,"Разбор и дефектовка автомобиля, далее ремонт и замена кузовных элементов и далее сборка с выставлением всех зазоров с последующей передачей... Сборка-разборка автомобиля. Сложные жестяные работы. Замена лонжеронов. Замена задних крыльев. Замена порогов. Выставление геометрии кузова. Ремонт лобовых ударов, боковых..."
Арматурщик,"ЖЕЛАНИЕ зарабатывать. - ""практический"" стаж вождения от 3 лет, в том числе механика. - ОТЛИЧНОЕ знание устройства автомобилей. разборка/сборка автомобиля. - соблюдение сроков и качества ремонта, а так же стандартов производителя и дилерского центра."
Арматурщик,"Знание технологии проведения работ. Опыт работы в кузовном ремонте. Умение работать со специализированным оборудованием.. Самостоятельность, ответственность, желание работать на результат. Кузовной ремонт. Разборка и сборка автомобиля для устранения дефектов кузова. Поддержание чистоты и порядка на своем рабочем месте."
Арматурщик,модули) в шагoвoй доступнocти(новые).
Арматурщик,"Работа с измерительными инструментами (штангенциркуль, рулетка, линейка). Физическая выносливость. Рубка арматурных стержней. Рубка сеток и каркасов. Транспортировка полуфабрикатов кран-балкой."
Арматурщик/Бетонщик,Умение работать с арматурой. - Умение работать с инструментом. - Чтение чертежей. Реконструировали 28 км объектов подземной инфраструктуры. - Вязка арматуры. - Резка арматуры. - Монтаж каркасов из арматуры. - Изготовление хомутов.
Арматурщик,"Разборка/сборка элементов для проведения кузовных и покрасочных работ. Снятие – установка бамперов, фар, разборка-сборка дверных панелей, наклейка молдингов, эмблем..."
Формовщик / Бетонщик / Арматурщик,"Опыт в строительной сфере. Желание зарабатывать. Наличие полного пакета документов для трудоустройства. Прихватка деталей. Обрезка стержней, обрезка арматуры. И работа на станках (Вибростол для готовой продукции, вибростанок для опорных пробок, станок для..."
Арматурщик-бетонщик,"опыт работы в монолите обязателен. - опыт работы на крупных режимных объектах. - умение выполнять свои обязательства. строгое соблюдение ТБ, ПБ, режима объекта."
Арматурщик,"Опыт работы в аналогичной должности от года. Опыт работы в грузовом сегменте будет Вашим преимуществом. Исполнительность и внимательность к деталям. Разборка, сборка грузовых автомобилей и прицепов для проведения кузовных работ."
Арматурщик автомобилей,Опыт работы с иномарками. Опыт работы у официального дилера (желательно). Качественная и профессиональная работа с соблюдением сроков. Проведение арматурных работ при подготовке автомобилей к жестяным и окрасочным работам. Дефектовочные работы. Разборка/сборка навесных элементов оснащения кузова для...
Арматурщик на строительство мед.центра,"Tpeбования : Опыт рабoты на монолите приветствуется, при его отсутствии( огромное желание работать в сфере строительства) остальному научим! "
Арматурщик/бетонщик,"Минимальный опыт работы с бетоном, арматурой. Вязка арматуры. Заливка бетона. Заливка котлованов. Возведение стен и перегородок из армированного бетона."
Арматурщик на строительство (Москва),"Берем на работу как профессионалов так и без опыта работы . Ответственное отношение к работе, желание работать и зарабатывать. Устройство монолитных конструкций. Вязка арматуры. Заливка бетона. Монтаж/демонтаж опалубки. В ответ Вам поступит подробное описание вакансии и приглашение на..."
Арматурщик на строительство мед.центра,"Tpeбования : Опыт рабoты на монолите приветствуется, при его отсутствии( огромное желание работать в сфере строительства) остальному научим! "
Арматурщик на монолит (Москва),"Что мы хотим от вас: - принимаем бригады. - Опыт работы на монолите. - Готовность к физическому труду. - Пунктуальность. - Желание работать и ЗАРАБАТЫВАТЬ.  Опалубочные работы, армирование, прием и укладка бетона, монтажи многое другое зависит от вашей специальности ."
Арматурщик,"Понимание работы в бригаде. Дисциплинированность, трудолюбие. Опыт работы в строительстве будет преимуществом. ОБЪЕКТ: РЕКОНСТРУКЦИЯ И СТРОИТЕЛЬСТВО ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ ГОРОД МОСКВА. Работы на монолите (заливка бетона, укладка и вязка арматуры). Монтажные работы (МК..."
"Арматурщик (разборка-сборка автомобиля под детейлинг услуги, в ОАЭ г. Дубай)","Опыт работы не менее 3 лет с премиальными автомобилями. Понимание важности соблюдения сроков работ. Аккуратность. Нахождение кандидатов а г.  Разборка-сборка автомобиля под детейлинг услуги (оклейка, малярка, полировка и т.п.). Арматурные работы по салону. Срезка/вклейка стекол."
Арматурщик на строительство (Москва),"Берем на работу как профессионалов так и без опыта работы . Ответственное отношение к работе, желание работать и зарабатывать. Устройство монолитных конструкций. Вязка арматуры. Заливка бетона. Монтаж/демонтаж опалубки. В ответ Вам поступит подробное описание вакансии и приглашение на..."
Арматурщик,Опыт работы в данной сфере. Разборка сборка автомобилей. Восстановление зазоров.
Арматурщик на строительство АЭС (г. Северск),"3.000R/смена-с опытом работы, есть подтверждающие документы. После трудоустройства скан Вашего договора отправляем на согласование, заказчик на основании этого договора. Готовит постоянный, целевой пропуск на АЭС. "
Арматурщик на монолит (Москва),"Что мы хотим от вас: - принимаем бригады. - Опыт работы на монолите. - Готовность к физическому труду. - Пунктуальность. - Желание работать и ЗАРАБАТЫВАТЬ.  Опалубочные работы, армирование, прием и укладка бетона, монтажи многое другое зависит от вашей специальности ."
Арматурщик-бетонщик,"опыт работы в монолите обязателен. - опыт работы на крупных режимных объектах. - умение выполнять свои обязательства. строгое соблюдение ТБ, ПБ, режима объекта."
Бетонщик-арматурщик,"Опыт работы от 1 года. Бетонирование железобетонных и бетонных конструкций различной сложности. Необходимы навыки строительства цементно-бетонных покрытий, требования к их качеству, правила сборки, монтажа..."
Арматурщик (м. Алтуфьево),Среднее-специальное образование. Опыт работы от года в должности <highlighttext>арматурщик</highlighttext>. Проведение арматурных работ при подготовке автомобилей к жестяным и окрасочным работам. Разборка/сборка навесных элементов оснащения кузова для проведения жестяных...
Арматурщик на строительство мед.центра,"Tpeбования : Опыт рабoты на монолите приветствуется, при его отсутствии( огромное желание работать в сфере строительства) остальному научим! "
Арматурщик-бетонщик,"наличие квалификационных документов,если же их нет ,рассматриваем кандидатов индивидуально при наличаи опыта. "
Арматурщик / Бетонщик,"Наличие свидетельства/удостоверения по специальности, наличие опыта работы более 1 года. Желательно удостоверение стропальщика. Выполнение комплекса бетонных работ и ведение подготовительных работ перед бетонированием; укладка бетонной смеси в вертикальные конструкции, на наклонные плоскости, под..."
Арматурщик-монолитчик на объект в Москву и область,"Tpeбования : Опыт рабoты на монолите приветствуется, при его отсутствии( огромное желание работать в сфере строительства) остальному научим! "
Арматурщик,"Среднее специальное, техническое образование. Опыт работы на малярно-кузовном участке более 1 года. Знание устройства автомобиля. Разборка, сборка а/м под покраску, дефектовка деталей автомобилей, замена стекол."
Арматурщик,"Опыт работы <highlighttext>арматурщиком</highlighttext> от 2 лет. Знание и соблюдение стандартов и технологий ремонта. Дефектовка после ДТП. Разборка/сборка а/м для проведения кузовного ремонта. Замена автомобильных стекол, регулировка и подгонка деталей."
Бетонщик-арматурщик,Опыт работы. Чтение чертежей приветствуется. Установка опалубки. Вязка арматурного каркаса. Заливка бетона. Уход за бетоном. Снятие опалубки.
Арматурщик-бетонщик,Образование не ниже среднего специального. Профильный опыт работы от 3 лет. Наличие удостоверения. Укладка бетонной смеси на горизонтальных плоскостях. Устройство бетонных фундаментов под залив. Устройство цементной стяжки. Разборка опалубки простых конструкций. 
Арматурщик,Готовность обучаться. Ответственность и пунктуальность. Умение работать в условиях многозадачности. Умение работать в коллективе. Точность и внимательность. Физическая выносливость. Исполнительность. Вязка арматуры. Заливка бетона. Арматурные работы. Работа на высоте. Бетонные работы.
Арматурщик-бетонщик,Образование не ниже среднего специального. Профильный опыт работы от 3 лет. Наличие удостоверения. Укладка бетонной смеси на горизонтальных плоскостях. Устройство бетонных фундаментов под залив. Устройство цементной стяжки. Разборка опалубки простых конструкций. 
Арматурщик на строительство (Москва),"Берем на работу как профессионалов так и без опыта работы . Ответственное отношение к работе, желание работать и зарабатывать. Устройство монолитных конструкций. Вязка арматуры. Заливка бетона. Монтаж/демонтаж опалубки. В ответ Вам поступит подробное описание вакансии и приглашение на..."
Арматурщик (СТО),"Опыт работы <highlighttext>арматурщиком</highlighttext> от 2 лет. Знание и соблюдение стандартов и технологий ремонта. Дефектовка после ДТП. Разборка/сборка а/м для проведения кузовного ремонта. Замена автомобильных стекол, регулировка и подгонка деталей."
Арматурщик,Опыт работы <highlighttext>арматурщиком</highlighttext> от 1 года.  Удостоверение делаем за счет компании. Установка заборов и шумозащитных экранов вдоль ЖД дороги.
Арматурщик-бетонщик,"опыт работы в монолите обязателен. - опыт работы на крупных режимных объектах. - умение выполнять свои обязательства. строгое соблюдение ТБ, ПБ, режима объекта."
"Арматурщик на стройку, Казань","Ответственный подход к выполнению трудовых обязанностей. ОПЫТ РАБОТЫ БУДЕТ ПРЕИМУЩЕСТВОМ, НО ЕСЛИ ОПЫТА НЕТ МЫ ВСЕМУ ОБУЧАЕМ (ПОСЛЕ ОБУЧЕНИЯ ВЫДАЕМ... КОМПЕНСИРУЕМ билет до КАЗАНИ ( сохрани чек ). Оформление и заселение в день визита, со след дня выходите на работу. "
Арматурщик,"Опыт арматурных работ от 1 года. Навыки монтажа и демонтажа элементов кузова легковых автомобилей. Знание устройства автомобиля и технологии кузовного... Выполнение полного объема арматурных работ (разборка/сборка кузовных элементов автомобиля. Снятие/установка съемных элементов кузова автомобиля. Срезка/вклейка стекол, монтаж..."
Бетонщик-арматурщик,"работа по монтажу наружных сетей водосточной и дождевой канализации с устройством монолитных камер и ж/б изделий, монтаж каналов теплосети..."
Арматурщик-монолитчик на объект в Москву и область,"Tpeбования : Опыт рабoты на монолите приветствуется, при его отсутствии( огромное желание работать в сфере строительства) остальному научим! "
Арматурщик-бетонщик,"наличие квалификационных документов,если же их нет ,рассматриваем кандидатов индивидуально при наличаи опыта. "
Арматурщик / Установщик шумоизоляции,"Опыт арматурных работ на различных марках и моделях автомобилей. Ищем специалистов с руками из нужного места, любящих автомобили и имеющих... 1. Разборка и сборка салонов автомобилей. 2. Оклейка шумоизоляционными материалами, работа с премиальными брендами автомобилей. - работы много, скучать не приходится!)."
Арматурщик/бетонщик,"Минимальный опыт работы с бетоном, арматурой. Вязка арматуры. Заливка бетона. Заливка котлованов. Возведение стен и перегородок из армированного бетона."
Арматурщик 4-5 разряд,Опыт работы от 1 года. Наличие удостоверений. Изготовление металлических каркасов для железобетонных конструкций.
Арматурщик,"Монтаж лестничных маршей и площадок, рядовых крупных блоков стен и балконных блоков."
Арматурщик на монолит (Москва),"Что мы хотим от вас: - принимаем бригады. - Опыт работы на монолите. - Готовность к физическому труду. - Пунктуальность. - Желание работать и ЗАРАБАТЫВАТЬ.  Опалубочные работы, армирование, прием и укладка бетона, монтажи многое другое зависит от вашей специальности ."
Арматурщик,"Если нет времени позвонить - пишите на Viber, WhatsApp, Телеграмм. ОТВЕТИМ НА ВСЕ ВОПРОСЫ!"
Арматурщик,"Опыт работы в аналогичной должности от года. Опыт работы в грузовом сегменте будет Вашим преимуществом. Исполнительность и внимательность к деталям. Разборка, сборка грузовых автомобилей и прицепов для проведения кузовных работ."
Арматурщик,Принимаем как с опытом так и без опыта работы. - Высокая работоспособность. - Желание работать и зарабатывать. производство арматурных изделий и конструкций. - чтение чертежей. - работа на арматурных станках.
Арматурщик,"Обязателен аналогичный опыт работы от года. Обязателен опыт замены стекла. Разборка автомобилей для проведения ремонта, сборка отремонтированного автомобиля. Замена стекла."
Арматурщик,"Опыт работы в аналогичной должности от года. Опыт работы в грузовом сегменте будет Вашим преимуществом. Исполнительность и внимательность к деталям. Разборка, сборка грузовых автомобилей и прицепов для проведения кузовных работ."
Бетонщик-арматурщик,Опыт работы. Чтение чертежей приветствуется. Установка опалубки. Вязка арматурного каркаса. Заливка бетона. Уход за бетоном. Снятие опалубки.
Арматурщик,"Понимание работы в бригаде. Дисциплинированность, трудолюбие. Опыт работы в строительстве будет преимуществом. ОБЪЕКТ: РЕКОНСТРУКЦИЯ И СТРОИТЕЛЬСТВО ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ ГОРОД МОСКВА. Работы на монолите (заливка бетона, укладка и вязка арматуры). Монтажные работы (МК..."
Арматурщик,модули) в шагoвoй доступнocти(новые).
Арматурщик/бетонщик,"Минимальный опыт работы с бетоном, арматурой. Вязка арматуры. Заливка бетона. Заливка котлованов. Возведение стен и перегородок из армированного бетона."
Бетонщик-арматурщик,На строительный объект в г. Северск Томской области требуются рабочие с навыками работы в монолите. Монтаж / демонтаж опалубки. Изготовление и сборка арматурных каркасов. Укладка бетонной смеси.
"Арматурщик на стройку, монолит, Северск","Что мы хотим от вас: - принимаем бригады. - Опыт работы на монолите будет преимуществом, но если опыта нет всему научим . -  С МОСКВЫ ДО СЕВЕРСКА ИДЕТ ОТПРАВКА НА САМОЛЕТЕ ЗА СЧЕТ ОРГАНИЗАЦИИ. - Опалубочные работы, армирование, прием и укладка бетона, монтажи многое..."
"Арматурщик на стройку, Казань",Готовы рассмотреть кандидатов без опыта работы (на площадке имеется обучение по окончанию обучения получаете корочки). Готовность работать вахтовым методом. Ответственность.  
Арматурщик,"Среднее специальное, техническое образование. Опыт работы на малярно-кузовном участке более 1 года. Знание устройства автомобиля. Разборка, сборка а/м под покраску, дефектовка деталей автомобилей, замена стекол."
Арматурщик/Ученик арматурщика,"Знание устройства кузова автомобилей. Опыт работы <highlighttext>арматурщиком</highlighttext> от 3-х лет. Внимательность, добросовестность, аккуратность. Арматурные работы по разборке и сборке автомобилей. Соблюдение техники безопасности и технологии выполнения работ."
"Арматурщик, Сковородино",Опыт работы. Наличие удостоверений. Билеты приобретает организация туда и обратно.
Арматурщик-бетонщик,"Опыт работы с арматурой. Опыт заливки ЖБИ. Изготовление металлокаркасов для ЖБИ. Изготовление металлокаркасов. Заливка каркасов бетоном в формах. Вязание, натяжение арматуры."
Арматурщик,"Среднее специальное, техническое образование. Опыт работы на малярно-кузовном участке более 1 года. Знание устройства автомобиля. Разборка, сборка а/м под покраску, дефектовка деталей автомобилей, замена стекол."
Арматурщик,"Знание конструкции автомобилей. Опыт работы. Аккуратность, ответственность, дисциплинированность. Разборка/сборка элементов автомобиля. Снятие/установка съемных элементов кузова автомобиля. Снятие/вклейка стекол. Шиномонтаж, развал/схождение."
Арматурщик атомобильный,Опыт работы с электрикой приветствуется. Требования: Опыт работы с иномарками. Опыт работы у официального дилера (желательно). Проведение арматурных работ при подготовке автомобилей к жестяным и окрасочным работам. Дефектовочные работы. Разборка/сборка навесных элементов оснащения кузова для...
Арматурщик 5разряд,
Мастер арматурщик,Опыт работы. Желание работать и делать свою работу максимально качественно. Нам важен результат а не процесс. Арматурные работы. Разбор салона. Разбор кузова.
Арматурщик на автосервис,"Опыт работы <highlighttext>арматурщиком</highlighttext> с легковыми автомобилями. Знание и соблюдение стандартов и технологий ремонта. Дефектовка после ДТП. Разборка/сборка а/м для проведения кузовного ремонта. Замена автомобильных стекол, регулировка и подгонка деталей."
Бетонщик арматурщик,Опыт работы. Исполнительность. Ответственность. Укладка бетонной смеси. Разборка опалубки простых конструкций. Подготовка основания при производстве бетонных работ. Монтаж арматурных каркасов. Прогрев бетона в зимнее...
Арматурщик,"Опыт работы <highlighttext>арматурщиком</highlighttext> от 2 лет. Знание и соблюдение стандартов и технологий ремонта. Дефектовка после ДТП. Разборка/сборка а/м для проведения кузовного ремонта. Замена автомобильных стекол, регулировка и подгонка деталей."
Арматурщик,"Опыт работы на строительстве мостов - является преимуществом! Монтаж сложных пространственных каркасов из арматуры, а также арматурно-опалубочных блоков на участке строительства мостов. Монтаж железобетонных, стальных и металлоконструкций."
Арматурщик,Установка опалубки. Вязка арматурного каркаса. Заливка бетона. Уход за бетоном. Снятие опалубки.
"Арматурщик на стройку, Казань","Ответственный подход к выполнению трудовых обязанностей. ОПЫТ РАБОТЫ БУДЕТ ПРЕИМУЩЕСТВОМ, НО ЕСЛИ ОПЫТА НЕТ МЫ ВСЕМУ ОБУЧАЕМ (ПОСЛЕ ОБУЧЕНИЯ ВЫДАЕМ... КОМПЕНСИРУЕМ билет до КАЗАНИ ( сохрани чек ). Оформление и заселение в день визита, со след дня выходите на работу. "
Арматурщик (АВТОРАЗБОР),"Опыт работы <highlighttext>арматурщиком</highlighttext> от 1 года. Внимательность, ответственность, исполнительность. Проведение арматурных работ при подготовке автомобилей к жестяным и окрасочным работам. Дефектовка после ДТП. Разборка/сборка а/м для проведения..."
Арматурщик,модули) в шагoвoй доступнocти(новые).
"Арматурщик на стройку, Казань",Готовы рассмотреть кандидатов без опыта работы (на площадке имеется обучение по окончанию обучения получаете корочки). Готовность работать вахтовым методом. Ответственность.  
Арматурщик-бетонщик,
Арматурщик,"Разборка и сборка деталей. Требования: <highlighttext>Арматурщик</highlighttext> должен знать: —предъявляемые к качеству выполняемых работ услуг , к рациональной организации труда на рабочем..."
Арматурщик,Материальная поддержка.
